file,status,method,n
unsorted__v1_225822484240_0.jpg,"rejected (rim 0.48, fill 0.97)",hough,0
unsorted__v1_226956113126_0.png,ok,threshold,1
unsorted__v1_256375650343_0.png,ok,threshold,1
unsorted__v1_256925394461_0.png,ok,hough,1
unsorted__v1_257010401680_0.png,ok,hough,1
unsorted__v1_257329916821_0_a.png,ok,hough,2
unsorted__v1_257329916821_0_b.png,ok,hough,2
unsorted__v1_257642716895_0.jpg,"rejected (rim 0.78, fill 0.72)",hough,0
unsorted__v1_266838844464_0.png,ok,threshold,1
unsorted__v1_266849663293_0_a.png,ok,hough,2
unsorted__v1_266849663293_0_b.png,ok,hough,2
unsorted__v1_267596397569_0.jpg,"rejected (rim 0.71, fill 0.94)",hough,0
unsorted__v1_276775583532_0.png,ok,threshold,1
unsorted__v1_277718202440_0.png,ok,hough,1
unsorted__v1_285876521921_0.jpg,"rejected (rim 0.73, fill 0.47)",hough,0
unsorted__v1_286784124394_0.png,ok,hough,1
unsorted__v1_297241359450_0.png,ok,threshold,1
unsorted__v1_297413274016_0.jpg,"rejected (rim 0.84, fill 0.79)",hough,0
unsorted__v1_307087778455_0.png,ok,hough,1
unsorted__v1_314847682304_0.jpg,"rejected (rim 0.59, fill 0.58)",hough,0
unsorted__v1_317895380463_0.png,ok,hough,1
unsorted__v1_326314501734_516028079032.png,ok,hough,1
unsorted__v1_326389833461_516028013204.png,ok,hough,1
unsorted__v1_326948727716_0.png,ok,hough,1
unsorted__v1_327199304180_0.png,ok,hough,1
unsorted__v1_327199312358_0.png,ok,hough,1
unsorted__v1_327200828179_0_a.png,ok,hough,2
unsorted__v1_327200828179_0_b.png,ok,hough,2
unsorted__v1_327200830227_0.png,ok,hough,1
unsorted__v1_327206075105_0.png,ok,hough,1
unsorted__v1_327206079147_0.png,ok,hough,1
unsorted__v1_327208107751_0.png,ok,hough,1
unsorted__v1_327231524355_0.png,ok,hough,1
unsorted__v1_327233326970_0.png,ok,hough,1
unsorted__v1_327242209766_0.png,ok,hough,1
unsorted__v1_327242362176_0.jpg,"rejected (rim 0.64, fill 0.84)",hough,0
